class_name,source_image_name,output_image_name,source_image_path,source_label_path,output_image_path,output_label_path,selected_rank,selection_method,seed
D00,D00_D00_longitudinal_crack_China_MotorBike_001901_prompt09_seed4078787054999301088_00001_.png,D00_D00_longitudinal_crack_China_MotorBike_001901_prompt09_seed4078787054999301088_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D00/images/D00_D00_longitudinal_crack_China_MotorBike_001901_prompt09_seed4078787054999301088_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D00/labels/D00_D00_longitudinal_crack_China_MotorBike_001901_prompt09_seed4078787054999301088_00001_.txt,/root/autodl-tmp/road_damage_exp/screening/random_200/images/D00_D00_longitudinal_crack_China_MotorBike_001901_prompt09_seed4078787054999301088_00001_.png,/root/autodl-tmp/road_damage_exp/screening/random_200/labels/D00_D00_longitudinal_crack_China_MotorBike_001901_prompt09_seed4078787054999301088_00001_.txt,1,class_balanced_random_sampling,42
D00,D00_D00_longitudinal_crack_China_MotorBike_000274_prompt08_seed5012836838808011292_00001_.png,D00_D00_longitudinal_crack_China_MotorBike_000274_prompt08_seed5012836838808011292_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D00/images/D00_D00_longitudinal_crack_China_MotorBike_000274_prompt08_seed5012836838808011292_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D00/labels/D00_D00_longitudinal_crack_China_MotorBike_000274_prompt08_seed5012836838808011292_00001_.txt,/root/autodl-tmp/road_damage_exp/screening/random_200/images/D00_D00_longitudinal_crack_China_MotorBike_000274_prompt08_seed5012836838808011292_00001_.png,/root/autodl-tmp/road_damage_exp/screening/random_200/labels/D00_D00_longitudinal_crack_China_MotorBike_000274_prompt08_seed5012836838808011292_00001_.txt,2,class_balanced_random_sampling,42
D00,D00_D00_longitudinal_crack_China_MotorBike_000157_prompt13_seed2026181388702666990_00001_.png,D00_D00_longitudinal_crack_China_MotorBike_000157_prompt13_seed2026181388702666990_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D00/images/D00_D00_longitudinal_crack_China_MotorBike_000157_prompt13_seed2026181388702666990_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D00/labels/D00_D00_longitudinal_crack_China_MotorBike_000157_prompt13_seed2026181388702666990_00001_.txt,/root/autodl-tmp/road_damage_exp/screening/random_200/images/D00_D00_longitudinal_crack_China_MotorBike_000157_prompt13_seed2026181388702666990_00001_.png,/root/autodl-tmp/road_damage_exp/screening/random_200/labels/D00_D00_longitudinal_crack_China_MotorBike_000157_prompt13_seed2026181388702666990_00001_.txt,3,class_balanced_random_sampling,42
D00,D00_D00_longitudinal_crack_China_MotorBike_000551_prompt13_seed931664367390392479_00001_.png,D00_D00_longitudinal_crack_China_MotorBike_000551_prompt13_seed931664367390392479_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D00/images/D00_D00_longitudinal_crack_China_MotorBike_000551_prompt13_seed931664367390392479_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D00/labels/D00_D00_longitudinal_crack_China_MotorBike_000551_prompt13_seed931664367390392479_00001_.txt,/root/autodl-tmp/road_damage_exp/screening/random_200/images/D00_D00_longitudinal_crack_China_MotorBike_000551_prompt13_seed931664367390392479_00001_.png,/root/autodl-tmp/road_damage_exp/screening/random_200/labels/D00_D00_longitudinal_crack_China_MotorBike_000551_prompt13_seed931664367390392479_00001_.txt,4,class_balanced_random_sampling,42
D00,D00_D00_longitudinal_crack_China_MotorBike_000526_prompt12_seed4773576835655325299_00001_.png,D00_D00_longitudinal_crack_China_MotorBike_000526_prompt12_seed4773576835655325299_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D00/images/D00_D00_longitudinal_crack_China_MotorBike_000526_prompt12_seed4773576835655325299_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D00/labels/D00_D00_longitudinal_crack_China_MotorBike_000526_prompt12_seed4773576835655325299_00001_.txt,/root/autodl-tmp/road_damage_exp/screening/random_200/images/D00_D00_longitudinal_crack_China_MotorBike_000526_prompt12_seed4773576835655325299_00001_.png,/root/autodl-tmp/road_damage_exp/screening/random_200/labels/D00_D00_longitudinal_crack_China_MotorBike_000526_prompt12_seed4773576835655325299_00001_.txt,5,class_balanced_random_sampling,42
D00,D00_D00_longitudinal_crack_China_MotorBike_000526_prompt07_seed8309846564819495605_00001_.png,D00_D00_longitudinal_crack_China_MotorBike_000526_prompt07_seed8309846564819495605_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D00/images/D00_D00_longitudinal_crack_China_MotorBike_000526_prompt07_seed8309846564819495605_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D00/labels/D00_D00_longitudinal_crack_China_MotorBike_000526_prompt07_seed8309846564819495605_00001_.txt,/root/autodl-tmp/road_damage_exp/screening/random_200/images/D00_D00_longitudinal_crack_China_MotorBike_000526_prompt07_seed8309846564819495605_00001_.png,/root/autodl-tmp/road_damage_exp/screening/random_200/labels/D00_D00_longitudinal_crack_China_MotorBike_000526_prompt07_seed8309846564819495605_00001_.txt,6,class_balanced_random_sampling,42
D00,D00_D00_longitudinal_crack_China_MotorBike_000364_prompt06_seed2720251508225841406_00001_.png,D00_D00_longitudinal_crack_China_MotorBike_000364_prompt06_seed2720251508225841406_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D00/images/D00_D00_longitudinal_crack_China_MotorBike_000364_prompt06_seed2720251508225841406_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D00/labels/D00_D00_longitudinal_crack_China_MotorBike_000364_prompt06_seed2720251508225841406_00001_.txt,/root/autodl-tmp/road_damage_exp/screening/random_200/images/D00_D00_longitudinal_crack_China_MotorBike_000364_prompt06_seed2720251508225841406_00001_.png,/root/autodl-tmp/road_damage_exp/screening/random_200/labels/D00_D00_longitudinal_crack_China_MotorBike_000364_prompt06_seed2720251508225841406_00001_.txt,7,class_balanced_random_sampling,42
D00,D00_D00_longitudinal_crack_China_MotorBike_000274_prompt05_seed4167548211033578982_00001_.png,D00_D00_longitudinal_crack_China_MotorBike_000274_prompt05_seed4167548211033578982_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D00/images/D00_D00_longitudinal_crack_China_MotorBike_000274_prompt05_seed4167548211033578982_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D00/labels/D00_D00_longitudinal_crack_China_MotorBike_000274_prompt05_seed4167548211033578982_00001_.txt,/root/autodl-tmp/road_damage_exp/screening/random_200/images/D00_D00_longitudinal_crack_China_MotorBike_000274_prompt05_seed4167548211033578982_00001_.png,/root/autodl-tmp/road_damage_exp/screening/random_200/labels/D00_D00_longitudinal_crack_China_MotorBike_000274_prompt05_seed4167548211033578982_00001_.txt,8,class_balanced_random_sampling,42
D00,D00_D00_longitudinal_crack_China_MotorBike_001743_prompt09_seed7993274824854504157_00001_.png,D00_D00_longitudinal_crack_China_MotorBike_001743_prompt09_seed7993274824854504157_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D00/images/D00_D00_longitudinal_crack_China_MotorBike_001743_prompt09_seed7993274824854504157_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D00/labels/D00_D00_longitudinal_crack_China_MotorBike_001743_prompt09_seed7993274824854504157_00001_.txt,/root/autodl-tmp/road_damage_exp/screening/random_200/images/D00_D00_longitudinal_crack_China_MotorBike_001743_prompt09_seed7993274824854504157_00001_.png,/root/autodl-tmp/road_damage_exp/screening/random_200/labels/D00_D00_longitudinal_crack_China_MotorBike_001743_prompt09_seed7993274824854504157_00001_.txt,9,class_balanced_random_sampling,42
D00,D00_D00_longitudinal_crack_China_MotorBike_000224_prompt12_seed108057610768605112_00001_.png,D00_D00_longitudinal_crack_China_MotorBike_000224_prompt12_seed108057610768605112_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D00/images/D00_D00_longitudinal_crack_China_MotorBike_000224_prompt12_seed108057610768605112_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D00/labels/D00_D00_longitudinal_crack_China_MotorBike_000224_prompt12_seed108057610768605112_00001_.txt,/root/autodl-tmp/road_damage_exp/screening/random_200/images/D00_D00_longitudinal_crack_China_MotorBike_000224_prompt12_seed108057610768605112_00001_.png,/root/autodl-tmp/road_damage_exp/screening/random_200/labels/D00_D00_longitudinal_crack_China_MotorBike_000224_prompt12_seed108057610768605112_00001_.txt,10,class_balanced_random_sampling,42
